date_submitted,latitude,longitude,artesian_well,district,traditional_authority,well_images,has_structure,well_structure_type,well_structure_type_other,can_test_flow,seconds_to_fill_20L,use_of_site,other_site_use,seasonal_unavail,area_photos,abstraction_nearby,abstraction_count,abs1_name,abs1_latitude,abs1_longitude,abs1_method,abs1_region,recharge_known,recharge_other,river_nearby,has_operator,mgmt_type,mgmt_type_other
4/4/2024,-15.1025608,35.233652,Mgwalanga artesian well,Machinga,Stola,https://api.mwater.co/v3/images/f7f58d6675124df1bca9c3f3bbb2f714; https://api.mwater.co/v3/images/f82177afad6c41a08d2dcd1a1ff8adc8,Yes,Hand Pump,NA,Yes,221.321,Domestic,Irrigation for Rice farming,No,https://api.mwater.co/v3/images/c9d9c2f399e142ca86af4483471f31c3; https://api.mwater.co/v3/images/653c2e9e8ba54070b3514b43b996aca0; https://api.mwater.co/v3/images/9d684beb3462400ba215f9edf15cdac2; https://api.mwater.co/v3/images/87d129956a2e45efbc012f969f515f6e,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Area or Water Mechanic,NA
4/5/2024,-15.08032949,35.2369147,Liwonde LEA Artesian well,Machinga,Sitola,https://api.mwater.co/v3/images/08d812dc9c884cc19a3ad6f8be0994ea; https://api.mwater.co/v3/images/9bda5a7715e64d44981ffd2c3f9f5b02; https://api.mwater.co/v3/images/2c6bb3d4035e48d6a987337552904e6b,Yes,Hand Pump,NA,No,0,Domestic,Fish Farming,No,https://api.mwater.co/v3/images/ba045c5602714d45ae88d766c95888ab; https://api.mwater.co/v3/images/3a13e3733b5f4c828c3ff1ccb3682480; https://api.mwater.co/v3/images/a27a8091e82048f88875a4c94144e3ea,Yes,1,Liwonde LEA,-15.08045187,35.23712343,GPS,Liwonde Town,NA,NA,NA,NA,NA,NA
4/5/2024,-15.08125539,35.23902772,Bandawe Artesian well,Machinga,Sitola,https://api.mwater.co/v3/images/a4a87705d2cb4341a5c9b6a5e995e61d; https://api.mwater.co/v3/images/bf0e6c1f97884abc92931f683414ccac,Yes,Other,Electrical pump,No,0,Domestic,Fish Pond,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/5/2024,-15.0779824,35.2402532,Maplot mosque artesian well,Machinga,Sitola,https://api.mwater.co/v3/images/92951c6fde6042fc83bfe2a8da2f1c1c,Yes,Cased,NA,No,0,Domestic,Was being used for agriculture before drying up. Drying happened after drilling of southern region water board boreholes,No,https://api.mwater.co/v3/images/5bea8737441a466ab31231993f415615,Yes,1,Bandawe artesian well,-15.0812658,35.238979,GPS,Liwonde Town,NA,NA,NA,NA,NA,NA
4/5/2024,-15.0787399,35.2426734,Shaffi artesian well,Machinga,Sitola,https://api.mwater.co/v3/images/054b07d3f5234f9ca2e4b2edcf48d33b; https://api.mwater.co/v3/images/2618cc4aaf2e4b439cb40c91317a7f94,Yes,Other,Covered and installed with a submersible pump to lift the water into a tank,No,0,Domestic,Just domestic. However,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/5/2024,-16.2437165,35.010088,Bishop village,Chikwawa,Mankhuwila,https://api.mwater.co/v3/images/fda58d40905242248a2a3f186b554922; https://api.mwater.co/v3/images/0de056427adf4692b2007c8e2db430c0,Yes,Hand Pump,NA,Yes,41.44,Domestic,Just one guy used the same water to irrigate rice,No,https://api.mwater.co/v3/images/0f1e93629cdf4f21920eed4254d57487; https://api.mwater.co/v3/images/450c44196bf74283a7edebf88be4046b; https://api.mwater.co/v3/images/6fb54c571b044e1da9128ef3b61701f5,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Water Point Committee,NA
4/5/2024,-15.06216261,35.23441009,Kumbemba village artesian well,Machinga,Sitola,https://api.mwater.co/v3/images/348c723e163f45a295d886dea3c161f7; https://api.mwater.co/v3/images/edac5681aa7d40d7bfe631da2e008a00; https://api.mwater.co/v3/images/eceb9bb4aa924a05bff6321f205e12ac,Yes,Hand Pump,NA,Yes,130.682,Domestic,NA,Yes,https://api.mwater.co/v3/images/f578d5253eea4a728ac36f13a369a951; https://api.mwater.co/v3/images/8ff5ac7cd3d24a54954531458eb00609; https://api.mwater.co/v3/images/49ccf14b565c4c6db9fa5b3a27951b8a; https://api.mwater.co/v3/images/edf14bb05d944e93a0265137ae1142de,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Area or Water Mechanic,NA
4/5/2024,-10.126508,34.0034695,Balabala,Karonga,Kyungu,https://api.mwater.co/v3/images/4997d6f764564f068e45e601e7ed2a5f,Yes,Hand Pump,NA,Yes,24.63,Domestic,Small scale irrigation,Yes,https://api.mwater.co/v3/images/0f16d1a960244b94ae6393624a02d416; https://api.mwater.co/v3/images/85a2d614076641c4b520f027c4b6ac7d,No,0,NA,NA,NA,NA,NA,Other,Suspecting flooding has raised water table,No,Yes,Water Point Committee,NA
4/5/2024,-10.3060668,34.1245379,Wovwe Baka,Karonga,Mwilangombe,https://api.mwater.co/v3/images/598dc0cd56594a6abdbc46eb1f6ab830,Yes,Hand Pump,NA,Yes,46.72,Domestic,Small scale irrigation,No,https://api.mwater.co/v3/images/dc101c9402064566a4e2600ec7e2d732; https://api.mwater.co/v3/images/9c2de35f48ae49de9d325e0de0a5e8a8,Yes,2,Tovwilane Water point,-10.30530544,34.119372920000004,Map,SC Mwirangombe,NA,NA,NA,NA,NA,NA
4/5/2024,-13.3332767,33.8692967,Matapa,Ntchisi,Malenga,https://api.mwater.co/v3/images/5579b85dc2c947d7bd55ff90605fa99b,Yes,Hand Pump,NA,Yes,96.521,Domestic,NA,No,https://api.mwater.co/v3/images/a72000d4d42543e981a7bfe52b210be1,No,0,NA,NA,NA,NA,NA,Other,A river system nearby might be recharging the aquifer,Yes,Yes,Area or Water Mechanic,NA
4/5/2024,-13.4189017,34.0579917,Nkhalamba,Ntchisi,Chikho,https://api.mwater.co/v3/images/a2be8f1b02db4818a31746e685fcea97,NA,NA,NA,No,0,Domestic,Irrigation,No,https://api.mwater.co/v3/images/4235354fef5a4ade9847aa75ddd0e03c,No,0,NA,NA,NA,NA,NA,Other,The site is within a catchment of water,Yes,NA,NA,NA
4/5/2024,-13.3738833,34.0963967,Kachiza,Ntchisi,Kasakula,https://api.mwater.co/v3/images/eedc3d0aa4484808a90e553a769fb50b; https://api.mwater.co/v3/images/bc01c08063674780bc0ef127136d18ca,Yes,Cased,NA,Yes,8.51,Irrigation,Domestic and fish farming,No,https://api.mwater.co/v3/images/9b0b629895a24309afe4dbdb9cab05fe,No,0,NA,NA,NA,NA,NA,Other,Catchment,No,No,NA,NA
4/5/2024,-13.3793033,34.0664733,Thundu,Ntchisi,Kasakula,https://api.mwater.co/v3/images/b44cb14aabcc4049a9fddd059409fa95,Yes,Hand Pump,NA,Yes,50.301,Domestic,Small scale Irrigation,Yes,NA,Yes,1,Chakudzera,NA,NA,NA,NA,No,NA,Yes,Yes,Area or Water Mechanic,NA
4/5/2024,-13.7322067,34.568745,Mpatsanjoka 3,Salima,Maganga,https://api.mwater.co/v3/images/b74f8c3274fe4d8b8b0421148cc4d109,Yes,Cased,NA,No,0,Irrigation,NA,No,https://api.mwater.co/v3/images/9107b9bd91354c5581ac20eaf03ade9c,Yes,3,NA,NA,NA,NA,NA,Other,Suggest that mountains to the east help to provide recharge through seepage of water in the subsurface,Yes,No,NA,NA
4/5/2024,-13.733025,34.56869,Mpatsanjoka 2,Salima,Maganga,https://api.mwater.co/v3/images/1b1986e3714842d2befc5d0edae941e3,Yes,Cased,NA,Yes,18.21,Irrigation,NA,No,NA,Yes,3,NA,NA,NA,NA,NA,Other,Suggest that mountains to the east help in recharge of the water as water seeps down,Yes,No,NA,NA
4/5/2024,-13.6472983,34.1564067,Chifuchambewa,Salima,Khombedza,https://api.mwater.co/v3/images/d54c1566338f4d2fbdce2c73d54b4ddb,Yes,Hand Pump,NA,Yes,37.481,Domestic,Irrigation and aquaculture,No,https://api.mwater.co/v3/images/62f454b4b7f74f41aed05f72409743bc,No,0,NA,NA,NA,NA,NA,Other,Its within catchment area,No,Yes,Water Point Committee,NA
4/5/2024,-15.7578324,35.0025269,Mkisi,Blantyre,Machinjiri,https://api.mwater.co/v3/images/09fc4d1abda74f8c9193ca71499a5f61,No,NA,NA,No,0,Other,Not used,No,https://api.mwater.co/v3/images/6e76003f54b64f79857cdecf6ee391b4,No,0,NA,NA,NA,NA,NA,No,NA,Yes,NA,NA,NA
4/5/2024,-9.9465092,33.8672458,Chilambilo primary school,Karonga,Kyungu,https://api.mwater.co/v3/images/30e9164a50474f448f435109d7f17547,Yes,Capped,NA,Yes,40.144,Domestic,Irrigation and aquaculture,No,https://api.mwater.co/v3/images/e0bb0864753d4977b17e87ee0cfd27c0; https://api.mwater.co/v3/images/75f4b1aae82c4d6eaac399f838e5e56b,No,0,NA,NA,NA,NA,NA,Other,Upland,No,Yes,Institution,NA
4/6/2024,-16.3001045,34.8411733,Kholongo Primary school,Chikwawa,Mgabu,https://api.mwater.co/v3/images/b6020c7c782140dda68385fc512b6396,Yes,Hand Pump,NA,No,0,Domestic,No any other use only school children uses it,No,https://api.mwater.co/v3/images/4209825c4eac44e28c442c6f1a0ab3ae; https://api.mwater.co/v3/images/73fce655326b4631af33d077d178dd9b,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Water Point Committee,NA
4/7/2024,-15.8397939,34.3957089,Mbwezeni 2  Village,Chikwawa,Mgabu,https://api.mwater.co/v3/images/10b5d3f8eec647fca8c5861810562e33,Yes,Hand Pump,NA,Yes,29.95,Domestic,Very minimal usage of alot of water people only use this for drinking,No,https://api.mwater.co/v3/images/a7d8385d4ed0432c9144ce7f326405cc; https://api.mwater.co/v3/images/3e0037981a4a4477924dbec45eeeca45,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Water Point Committee,NA
4/7/2024,-14.75337088,35.19933227,Luwembe Mandanda,Mangochi,Chimwala,https://api.mwater.co/v3/images/d37a7f7c7cf54c11bca8f69185ef74db; https://api.mwater.co/v3/images/c52d355431ac49288bbd4c4d13c75981,Yes,Hand Pump,NA,Yes,140.542,Domestic,Rice farming,No,https://api.mwater.co/v3/images/265bef44f8e147b39b3a2c1e1a6fa111; https://api.mwater.co/v3/images/c4beac6efadd4bcf97ebfc9df369f488,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Water Point Committee,NA
4/7/2024,-14.753342870000001,35.19933049,Luwembe Daftala,Mangochi,Chimwala,https://api.mwater.co/v3/images/e83d9fd2395c4b8e97a656e3c43b82f1,Yes,Cased,NA,Yes,55.561,Domestic,Rice farming,No,https://api.mwater.co/v3/images/a523a24cd728414e8a8aa506543ac423; https://api.mwater.co/v3/images/f6938d9e261342aea3dcec1f8bdda069; https://api.mwater.co/v3/images/0ad2e12531a948f6b835c3a63d45fd56,No,0,NA,NA,NA,NA,NA,Other,Surrounded by narutura trees and nearby swambs emanating from Lake malawi,No,Yes,Water Point Committee,NA
4/7/2024,-14.72337273,35.17225881,Kambulire mosque,Mangochi,Chimwala,https://api.mwater.co/v3/images/fc144e7f672c4da09f18090322b48169,Yes,Hand Pump,NA,Yes,66.311,Domestic,NA,No,https://api.mwater.co/v3/images/d72e52dd56aa4489af8c63b88756eb5d; https://api.mwater.co/v3/images/33499d2257a8437fbac7a3e2303a09e4; https://api.mwater.co/v3/images/932f819c640b45dfb0df45fffcee94ac,No,0,NA,NA,NA,NA,NA,Other,Swamps emanating from Lake malombe,No,Yes,Water Point Committee,NA
4/7/2024,-14.75256134,35.20420727,Liwembe sinoya,Mangochi,TA Chimwala,https://api.mwater.co/v3/images/8745ddfeb5b940e9b5d933a4c9461c6c,Yes,Hand Pump,NA,Yes,52.491,Domestic,Farming,No,https://api.mwater.co/v3/images/0b122aae07af46399df49ac6429a2ac6; https://api.mwater.co/v3/images/009bbf3f2a4d426ebb2b6843d873e5b4,No,0,NA,NA,NA,NA,NA,Other,Swamps emanating from Lake malawi,No,Yes,Water Point Committee,NA
4/7/2024,-14.75227254,35.20204463,Luwembe mosque,Mangochi,Chimwala,https://api.mwater.co/v3/images/b62f5d66104e47e1b6c4f00f1e66945f; https://api.mwater.co/v3/images/d3773f9b6dff41308383b065d632cac4,Yes,Hand Pump,NA,No,0,Domestic,Rice Farming,No,https://api.mwater.co/v3/images/b0df2b7562f74cd895aa3714dc5eff90; https://api.mwater.co/v3/images/bc3782bd2dfe4bcab334e65a90959fcb; https://api.mwater.co/v3/images/57a1f3f35a9d49efb2210b06e1f4b7b7,No,0,NA,NA,NA,NA,NA,Other,Swamps emanating from the lake malawi,No,Yes,Water Point Committee,NA
4/8/2024,-14.48320031,35.26434308,Kambulire,Mangochi,Chimwala,https://api.mwater.co/v3/images/6beb0521282c46ada3d73844afe4886c,Yes,Capped,NA,Yes,82.991,Domestic,Aquaculture [fish farming],No,https://api.mwater.co/v3/images/f9f66b31d12a427f94937e0938d9b114; https://api.mwater.co/v3/images/c2a9b69427cf48e6afd83fcd58a48756; https://api.mwater.co/v3/images/5b4c6138251f4a5c81bd79ea5872905d,No,0,NA,NA,NA,NA,NA,Other,Swamps emanating from Lake Malombe,No,Yes,Water Point Committee,NA
4/9/2024,-15.290751,34.9986137,Misele,Neno,Symon,https://api.mwater.co/v3/images/3161047383eb4316a99cd3893aa6ebcf,Yes,Hand Pump,NA,No,0,Domestic,NA,Yes,https://api.mwater.co/v3/images/75ce40194dfa4cd3941aea045aa20c78,No,0,NA,NA,NA,NA,NA,No,NA,No,No,NA,NA
4/9/2024,-15.29075348,34.99871349,Misere,Neno,Simon,https://api.mwater.co/v3/images/ae37749fa87e498f96625e4e052706f0; https://api.mwater.co/v3/images/24fa063c6c44471eb308071422b9aa5e,Yes,Hand Pump,NA,No,0,Domestic,NA,Yes,https://api.mwater.co/v3/images/b53bb7946012491dab560ea1017bbfa7; https://api.mwater.co/v3/images/9a4c89874f924606acd4f88d61e80346; https://api.mwater.co/v3/images/099e20325b03440ab9945659eceb9b0d,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Water Point Committee,NA
4/9/2024,-15.32353148,34.97795501,Kaligwenjere,Neno,Simoni,https://api.mwater.co/v3/images/13c2eb429404473cb71d5f9d34988459; https://api.mwater.co/v3/images/117d8470720b4d649a4e82e21734b952,Yes,Hand Pump,NA,No,0,Domestic,NA,No,https://api.mwater.co/v3/images/abc51c0efaca4dfbb03787704cd72791; https://api.mwater.co/v3/images/5f6d135e6cfc4d69a3ca0d6b971b080f,No,0,NA,NA,NA,NA,NA,Other,A forest is nearby,No,Yes,Water Point Committee,NA
4/10/2024,-14.7341416,35.1889966,Kalichero chigongolo,Mangochi,Chimwala,https://api.mwater.co/v3/images/4b9c1c2b168e40bbb015d7666203a545,Yes,Hand Pump,NA,Yes,67.97,Domestic,Rice farming,No,https://api.mwater.co/v3/images/c5e44999093e4b698860169ddddc67cb; https://api.mwater.co/v3/images/965fb3caa68c47b9bbd7f766df1fa65b,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Water Point Committee,NA
4/10/2024,-14.7357734,35.1905685,Kuwaya matope,Mangochi,Chimwala,https://api.mwater.co/v3/images/3e0fd7ad0d334ef4bcfe93b51b6297e2,Yes,Hand Pump,NA,No,0,Domestic,Vegetable farming,No,https://api.mwater.co/v3/images/d781d584af19475b979f9b91ac4f70d0; https://api.mwater.co/v3/images/5b63c726c50040beb2d9fa959e5e00e9; https://api.mwater.co/v3/images/a5c5ab1632dd4651a845fad1a52971ed,No,0,NA,NA,NA,NA,NA,No,NA,No,No,NA,NA
